season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,225571,Dzenis Burnic,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,216170,Emil Berggreen,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,148641,Emil Forsberg,0,8.0,19.0,30.0,27.0,0.0,0.0
2016-17,231279,Emre Mor,0,1.0,2.0,12.0,5.0,0.0,0.0
2016-17,240268,Erdal Öztürk,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,102254,Eric Maxim Choupo-Moting,0,3.0,4.0,23.0,19.0,0.0,0.0
2016-17,233170,Eric Oelschlägel,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,190480,Erik Durm,0,0.0,2.0,13.0,10.0,0.0,0.0
2016-17,153319,Ermin Bicakcic,0,1.0,0.0,18.0,11.0,0.0,0.0
2016-17,84650,Eugen Polanski,0,0.0,0.0,14.0,7.0,0.0,0.0
2016-17,222697,Fabian Benko,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,105140,Fabian Frei,0,0.0,1.0,24.0,19.0,0.0,0.0
2016-17,116008,Fabian Giefer,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,172435,Fabian Holland,0,0.0,0.0,26.0,25.0,0.0,0.0
2016-17,89451,Fabian Johnson,0,3.0,2.0,21.0,12.0,0.0,0.0
2016-17,104982,Fabian Lustenberger,0,0.0,1.0,19.0,17.0,0.0,0.0
2016-17,179233,Fabian Schär,0,0.0,0.0,6.0,3.0,0.0,0.0
2016-17,238538,Fabijan Buntic,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,158157,Fabio Coltorti,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,198709,Federico Palacios-Martinez,0,0.0,0.0,2.0,0.0,0.0,0.0
2016-17,245940,Felix Götze,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,225573,Felix Passlack,0,0.0,0.0,10.0,6.0,0.0,0.0
2016-17,216206,Felix Platte,0,2.0,1.0,9.0,6.0,0.0,0.0
2016-17,136598,Felix Wiedwald,0,0.0,0.0,25.0,24.0,0.0,0.0
2016-17,174496,Filip Kostic,0,4.0,3.0,31.0,29.0,0.0,0.0
2016-17,102237,Fin Bartels,0,8.0,7.0,31.0,23.0,0.0,0.0
2016-17,221671,Finn Porath,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,212334,Florent Hadergjonaj,0,1.0,2.0,25.0,25.0,0.0,0.0
2016-17,231191,Florian Baak,0,0.0,0.0,2.0,0.0,0.0,0.0
2016-17,219304,Florian Grillitsch,0,2.0,0.0,23.0,21.0,0.0,0.0
2016-17,151464,Florian Kainz,0,2.0,3.0,14.0,1.0,0.0,0.0
2016-17,224036,Florian Kohls,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,122292,Florian Müller,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,162096,Florian Niederlechner,0,11.0,2.0,34.0,29.0,0.0,0.0
2016-17,42968,Franck Ribéry,0,5.0,11.0,22.0,14.0,0.0,0.0
2016-17,116366,Franco Di Santo,0,0.0,2.0,12.0,3.0,0.0,0.0
2016-17,238543,Frank Ronstadt,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,153382,Frederik Sörensen,0,0.0,2.0,31.0,30.0,0.0,0.0
2016-17,242196,Furkan Zorba,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,150316,Gaëtan Bussmann,0,0.0,1.0,14.0,12.0,0.0,0.0
2016-17,205912,Genki Haraguchi,0,1.0,2.0,31.0,23.0,0.0,0.0
2016-17,131098,Georg Niedermeier,0,0.0,0.0,6.0,0.0,0.0,0.0
2016-17,157578,Georg Teigl,0,0.0,1.0,18.0,4.0,0.0,0.0
2016-17,218779,Gerrit Holtmann,0,0.0,1.0,5.0,1.0,0.0,0.0
2016-17,231183,Gian-Luca Itter,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,206580,Gideon Jung,0,0.0,0.0,29.0,26.0,0.0,0.0
2016-17,143517,Giulio Donati,0,0.0,0.0,32.0,31.0,0.0,0.0
2016-17,255626,Giuseppe Leo,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,114897,Gojko Kacar,0,0.0,1.0,22.0,11.0,0.0,0.0
