season,player_code,player_name,goals,assists,minutes,starts,xg,xa
2016-17,1632,Gareth Barry,2,1,2109,0.0,0.0,0.0
2016-17,27707,Darron Gibson,0,0,640,0.0,0.0,0.0
2016-17,87447,Muhamed Besic,0,0,0,0.0,0.0,0.0
2016-17,77762,Bryan Oviedo,0,0,1323,0.0,0.0,0.0
2016-17,94924,Gerard Deulofeu,0,0,460,0.0,0.0,0.0
2016-17,17349,Aaron Lennon,0,1,509,0.0,0.0,0.0
2016-17,66749,Romelu Lukaku,25,6,3266,0.0,0.0,0.0
2016-17,26921,Arouna Koné,0,0,78,0.0,0.0,0.0
2016-17,113688,Oumar Niasse,4,1,1096,0.0,0.0,0.0
2016-17,12390,Allan McGregor,0,0,0,0.0,0.0,0.0
2016-17,11974,Eldin Jakupovic,0,0,1980,0.0,0.0,0.0
2016-17,171982,Brian Lenihan,0,0,0,0.0,0.0,0.0
2016-17,19115,Curtis Davies,0,2,2135,0.0,0.0,0.0
2016-17,12679,Michael Dawson,3,0,1722,0.0,0.0,0.0
2016-17,88898,Moses Odubajo,0,0,0,0.0,0.0,0.0
2016-17,122798,Andrew Robertson,1,2,2736,0.0,0.0,0.0
2016-17,95658,Harry Maguire,2,3,2307,0.0,0.0,0.0
2016-17,19687,Alex Bruce,0,0,0,0.0,0.0,0.0
2016-17,18987,Robert Snodgrass,7,6,2548,0.0,0.0,0.0
2016-17,74033,Sam Clucas,3,1,3186,0.0,0.0,0.0
2016-17,49944,Jake Livermore,1,1,2970,0.0,0.0,0.0
2016-17,37339,Ahmed Elmohamady,0,2,2523,0.0,0.0,0.0
2016-17,28147,Mohamed Diamé,0,0,0,0.0,0.0,0.0
2016-17,15109,Tom Huddlestone,1,2,2025,0.0,0.0,0.0
2016-17,53371,David Meyler,1,0,962,0.0,0.0,0.0
2016-17,9110,Shaun Maloney,1,2,283,0.0,0.0,0.0
2016-17,59856,Abel Hernández,4,4,1425,0.0,0.0,0.0
2016-17,111847,Adama Diomande,2,0,1171,0.0,0.0,0.0
2016-17,17745,Kasper Schmeichel,0,0,2666,0.0,0.0,0.0
2016-17,51934,Ron-Robert Zieler,0,0,754,0.0,0.0,0.0
2016-17,15033,Wes Morgan,1,1,2430,0.0,0.0,0.0
2016-17,37402,Christian Fuchs,2,4,3103,0.0,0.0,0.0
2016-17,86417,Jeffrey Schlupp,0,2,1139,0.0,0.0,0.0
2016-17,37388,Marcin Wasilewski,0,0,90,0.0,0.0,0.0
2016-17,46695,Ritchie de Laet,0,0,0,0.0,0.0,0.0
2016-17,40725,Danny Simpson,0,3,2988,0.0,0.0,0.0
2016-17,12413,Robert Huth,2,2,2926,0.0,0.0,0.0
2016-17,41321,Yohan Benalouane,0,0,917,0.0,0.0,0.0
2016-17,130025,Luis Hernández,0,0,327,0.0,0.0,0.0
2016-17,103025,Riyad Mahrez,6,4,2826,0.0,0.0,0.0
2016-17,51938,Marc Albrighton,2,6,2412,0.0,0.0,0.0
2016-17,13152,Andy King,1,0,1446,0.0,0.0,0.0
2016-17,61603,Daniel Drinkwater,1,1,2466,0.0,0.0,0.0
2016-17,40772,Gökhan Inler,0,0,0,0.0,0.0,0.0
2016-17,172632,Demarai Gray,1,4,1049,0.0,0.0,0.0
2016-17,155569,Daniel Amartey,1,1,1673,0.0,0.0,0.0
2016-17,86881,Nampalys Mendy,0,0,269,0.0,0.0,0.0
2016-17,101668,Jamie Vardy,13,8,2801,0.0,0.0,0.0
2016-17,54316,Leonardo Ulloa,1,0,447,0.0,0.0,0.0
2016-17,78412,Shinji Okazaki,3,1,1565,0.0,0.0,0.0
2016-17,90714,Ahmed Musa,2,0,761,0.0,0.0,0.0
2016-17,66797,Simon Mignolet,0,0,2520,0.0,0.0,0.0
2016-17,104542,Loris Karius,0,0,900,0.0,0.0,0.0
2016-17,40784,Mamadou Sakho,0,0,686,0.0,0.0,0.0
2016-17,38454,Dejan Lovren,2,1,2553,0.0,0.0,0.0
2016-17,100059,Alberto Moreno,0,1,305,0.0,0.0,0.0
2016-17,57328,Nathaniel Clyne,0,2,3323,0.0,0.0,0.0
2016-17,91979,Jon Flanagan,0,0,360,0.0,0.0,0.0
2016-17,171287,Joseph Gomez,0,0,0,0.0,0.0,0.0
2016-17,134383,Connor Randall,0,0,0,0.0,0.0,0.0
2016-17,120447,Bradley Smith,0,0,269,0.0,0.0,0.0
2016-17,106449,Kevin Stewart,0,0,20,0.0,0.0,0.0
2016-17,60914,Joel Matip,1,0,2457,0.0,0.0,0.0
2016-17,43191,Leiva Lucas,0,3,1112,0.0,0.0,0.0
2016-17,56979,Jordan Henderson,1,4,2116,0.0,0.0,0.0
2016-17,40555,Joe Allen,6,3,2930,0.0,0.0,0.0
2016-17,84583,Philippe Coutinho,13,8,2228,0.0,0.0,0.0
2016-17,112338,Emre Can,5,2,2371,0.0,0.0,0.0
2016-17,39155,Adam Lallana,8,7,2338,0.0,0.0,0.0
2016-17,99323,Lazar Markovic,2,0,1005,0.0,0.0,0.0
2016-17,141921,Oluwaseyi Ojo,0,0,0,0.0,0.0,0.0
2016-17,15157,James Milner,7,4,3154,0.0,0.0,0.0
2016-17,92217,Roberto Firmino,11,11,3062,0.0,0.0,0.0
2016-17,147668,Cameron Brannagan,0,0,0,0.0,0.0,0.0
2016-17,174254,Pedro Chirivella,0,0,0,0.0,0.0,0.0
2016-17,110979,Sadio Mané,13,7,2242,0.0,0.0,0.0
2016-17,54861,Christian Benteke,15,2,3131,0.0,0.0,0.0
2016-17,40755,Daniel Sturridge,3,5,775,0.0,0.0,0.0
2016-17,42493,Mario Balotelli,0,0,0,0.0,0.0,0.0
2016-17,84939,Danny Ings,0,0,0,0.0,0.0,0.0
2016-17,152760,Divock Origi,7,4,1469,0.0,0.0,0.0
2016-17,15749,Joe Hart,0,0,0,0.0,0.0,0.0
2016-17,20310,Willy Caballero,0,0,1452,0.0,0.0,0.0
2016-17,42593,Aleksandar Kolarov,1,1,2535,0.0,0.0,0.0
2016-17,20658,Pablo Zabaleta,1,1,1065,0.0,0.0,0.0
2016-17,17476,Vincent Kompany,3,0,820,0.0,0.0,0.0
2016-17,17336,Gaël Clichy,1,0,2123,0.0,0.0,0.0
2016-17,37748,Bacary Sagna,0,1,1346,0.0,0.0,0.0
2016-17,57112,Eliaquim Mangala,0,0,0,0.0,0.0,0.0
2016-17,57410,Nicolás Otamendi,1,2,2592,0.0,0.0,0.0
2016-17,41823,Fabian Delph,1,0,224,0.0,0.0,0.0
2016-17,103955,Raheem Sterling,7,14,2509,0.0,0.0,0.0
2016-17,28554,Samir Nasri,0,0,16,0.0,0.0,0.0
2016-17,20664,David Silva,4,9,2760,0.0,0.0,0.0
2016-17,14664,Gnegneri Yaya Touré,5,0,1941,0.0,0.0,0.0
2016-17,17740,Jesús Navas,0,3,1064,0.0,0.0,0.0
2016-17,27789,Fernando Luiz Rosa,2,1,2755,0.0,0.0,0.0
2016-17,52538,Fernando Francisco Reges,0,0,568,0.0,0.0,0.0
2016-17,61366,Kevin De Bruyne,6,21,2877,0.0,0.0,0.0
2016-17,59859,Ilkay Gündogan,3,1,704,0.0,0.0,0.0
2016-17,86173,Manuel Agudo Durán,4,3,777,0.0,0.0,0.0
2016-17,206325,Oleksandr Zinchenko,0,0,0,0.0,0.0,0.0
2016-17,37572,Sergio Agüero,20,5,2404,0.0,0.0,0.0
2016-17,57001,Wilfried Bony,2,0,684,0.0,0.0,0.0
2016-17,173515,Kelechi Iheanacho,4,3,537,0.0,0.0,0.0
2016-17,51940,David de Gea,0,0,3150,0.0,0.0,0.0
2016-17,42899,Sergio Romero,0,0,180,0.0,0.0,0.0
2016-17,55909,Chris Smalling,1,1,1217,0.0,0.0,0.0
2016-17,76359,Phil Jones,0,0,1584,0.0,0.0,0.0
2016-17,152015,Guillermo Varela,0,0,0,0.0,0.0,0.0
2016-17,106760,Luke Shaw,0,3,688,0.0,0.0,0.0
2016-17,58893,Marcos Rojo,1,0,1663,0.0,0.0,0.0
2016-17,160817,Patrick McNair,0,0,353,0.0,0.0,0.0
2016-17,20695,Antonio Valencia,1,3,2483,0.0,0.0,0.0
2016-17,40002,Matteo Darmian,0,0,1333,0.0,0.0,0.0
