HomeTeam,AwayTeam,FTHG,FTAG,FTR
Blackburn,Everton,2,0,H
Leeds,QPR,1,1,D
Norwich,Aston Villa,1,2,A
Oldham,Man United,2,5,A
Sheffield Weds,Swindon,3,3,D
Aston Villa,Blackburn,0,1,A
Everton,West Ham,0,1,A
Ipswich,Liverpool,1,2,A
Man United,Leeds,0,0,D
Newcastle,Man City,2,0,H
QPR,Sheffield Weds,1,2,A
Sheffield United,Oldham,2,1,H
Southampton,Norwich,0,1,A
Swindon,Chelsea,1,3,A
Tottenham,Coventry,1,2,A
Wimbledon,Arsenal,0,3,A
Arsenal,QPR,0,0,D
Chelsea,Everton,4,2,H
Coventry,Swindon,1,1,D
Sheffield Weds,Tottenham,1,0,H
West Ham,Sheffield United,0,0,D
Liverpool,Man United,3,3,D
Norwich,Newcastle,1,2,A
Aston Villa,West Ham,3,1,H
Everton,Swindon,6,2,H
Leeds,Ipswich,0,0,D
Man City,Arsenal,0,0,D
Norwich,Chelsea,1,1,D
Oldham,Liverpool,0,3,A
Sheffield United,Blackburn,1,2,A
Southampton,Coventry,1,0,H
Tottenham,Man United,0,1,A
Wimbledon,Sheffield Weds,2,1,H
QPR,Newcastle,1,2,A
Arsenal,Oldham,1,1,D
Chelsea,Aston Villa,1,1,D
Coventry,QPR,0,1,A
Ipswich,Wimbledon,0,0,D
Liverpool,Man City,2,1,H
Man United,Everton,1,0,H
Newcastle,Southampton,1,2,A
Sheffield Weds,Sheffield United,3,1,H
Swindon,Tottenham,2,1,H
Blackburn,Leeds,2,1,H
West Ham,Norwich,3,3,D
Coventry,Ipswich,1,0,H
Blackburn,Wimbledon,3,0,H
Everton,Chelsea,4,2,H
Man City,Ipswich,2,1,H
Norwich,Liverpool,2,2,D
Oldham,Southampton,2,1,H
QPR,Man United,2,3,A
Swindon,Coventry,3,1,H
Tottenham,Sheffield Weds,1,3,A
Aston Villa,Leeds,1,0,H
Aston Villa,Swindon,5,0,H
Everton,Ipswich,0,0,D
Man City,West Ham,0,0,D
Oldham,Chelsea,2,1,H
Sheffield United,Coventry,0,0,D
Tottenham,Blackburn,0,2,A
Wimbledon,Newcastle,4,2,H
Norwich,Arsenal,1,1,D
Southampton,Liverpool,4,2,H
Blackburn,Newcastle,1,0,H
Coventry,Man City,4,0,H
Everton,Arsenal,1,1,D
Leeds,Liverpool,2,0,H
Swindon,Norwich,3,3,D
Aston Villa,Man City,0,0,D
Norwich,Blackburn,2,2,D
Newcastle,Coventry,4,0,H
Arsenal,Blackburn,1,0,H
Ipswich,Sheffield United,3,2,H
Liverpool,Coventry,1,0,H
Man City,Swindon,2,1,H
Norwich,Sheffield Weds,1,1,D
Southampton,Wimbledon,1,0,H
West Ham,Man United,2,2,D
Chelsea,Tottenham,4,3,H
Oldham,Leeds,1,1,D
Tottenham,Aston Villa,1,1,D
Blackburn,Liverpool,2,0,H
Everton,Oldham,2,1,H
Ipswich,Arsenal,1,5,A
Leeds,Southampton,0,0,D
Man United,Chelsea,0,1,A
QPR,Man City,1,1,D
Sheffield Weds,Newcastle,0,1,A
Swindon,West Ham,1,1,D
Tottenham,Sheffield United,2,2,D
Wimbledon,Norwich,3,1,H
Coventry,Aston Villa,0,1,A
Aston Villa,Ipswich,0,1,A
Man City,Wimbledon,0,1,A
Newcastle,Swindon,7,1,H
Norwich,QPR,3,4,A
Southampton,Sheffield Weds,1,1,D
Liverpool,Everton,2,1,H
Sheffield United,Leeds,2,2,D
Chelsea,Wimbledon,2,0,H
Leeds,Aston Villa,2,0,H
Man United,Sheffield Weds,5,0,H
Sheffield United,QPR,1,1,D
Aston Villa,Oldham,1,2,A
Leeds,Coventry,1,0,H
Liverpool,Chelsea,2,1,H
Man City,Sheffield United,0,0,D
QPR,Wimbledon,1,0,H
Southampton,Arsenal,0,4,A
Swindon,Man United,2,2,D
Tottenham,Ipswich,1,1,D
West Ham,Newcastle,2,4,A
Sheffield Weds,Blackburn,1,2,A
Norwich,Everton,3,0,H
Arsenal,Man United,2,2,D
Newcastle,Ipswich,2,0,H
Arsenal,Liverpool,1,0,H
Blackburn,Swindon,3,1,H
Chelsea,West Ham,2,0,H
Coventry,Norwich,2,1,H
Everton,Tottenham,0,1,A
Ipswich,QPR,1,3,A
Oldham,Man City,0,0,D
Sheffield United,Southampton,0,0,D
Wimbledon,Leeds,1,0,H
Sheffield United,West Ham,3,2,H
Ipswich,Man City,2,2,D
Newcastle,Norwich,3,0,H
Wimbledon,Blackburn,4,1,H
Aston Villa,Everton,0,0,D
Man United,Liverpool,1,0,H
Sheffield Weds,Chelsea,3,1,H
Southampton,Oldham,1,3,A
Leeds,Newcastle,1,1,D
Arsenal,Swindon,1,1,D
Blackburn,Man United,2,0,H
Chelsea,Southampton,2,0,H
Coventry,Wimbledon,1,2,A
Liverpool,Sheffield United,1,2,A
Man City,Aston Villa,3,0,H
Norwich,Tottenham,1,2,A
Oldham,QPR,4,1,H
Sheffield Weds,Everton,5,1,H
West Ham,Ipswich,2,1,H
Aston Villa,Norwich,0,0,D
Everton,Blackburn,0,3,A
Ipswich,Coventry,0,2,A
Man United,Oldham,3,2,H
Newcastle,Chelsea,0,0,D
QPR,Leeds,0,4,A
Sheffield United,Arsenal,1,1,D
Southampton,Man City,0,1,A
Swindon,Sheffield Weds,0,1,A
Tottenham,West Ham,1,4,A
Wimbledon,Liverpool,1,1,D
Coventry,Tottenham,1,0,H
Liverpool,Ipswich,1,0,H
Man City,Newcastle,2,1,H
Norwich,Southampton,4,5,A
Sheffield Weds,QPR,3,1,H
West Ham,Everton,0,1,A
Blackburn,Aston Villa,1,0,H
QPR,Chelsea,1,1,D
Arsenal,Chelsea,1,0,H
Coventry,Sheffield Weds,1,1,D
Ipswich,Swindon,1,1,D
Liverpool,Newcastle,0,2,A
Man City,Norwich,1,1,D
Oldham,West Ham,1,2,A
QPR,Everton,2,1,H
Sheffield United,Aston Villa,1,2,A
Southampton,Blackburn,3,1,H
Wimbledon,Man United,1,0,H
Leeds,Tottenham,2,0,H
Arsenal,Wimbledon,1,1,D
Aston Villa,Arsenal,1,2,A
Chelsea,Leeds,1,1,D
Everton,Coventry,0,0,D
Man United,Man City,2,0,H
Newcastle,Oldham,3,2,H
Norwich,Sheffield United,0,1,A
Sheffield Weds,Ipswich,5,0,H
Swindon,Wimbledon,2,4,A
Tottenham,Southampton,3,0,H
West Ham,Liverpool,1,2,A
Blackburn,QPR,1,1,D
Wimbledon,Oldham,3,0,H
Chelsea,Swindon,2,0,H
Leeds,Man United,0,2,A
Newcastle,Aston Villa,5,1,H
QPR,Arsenal,1,1,D
West Ham,Blackburn,1,2,A
Arsenal,West Ham,0,2,A
Leeds,Everton,3,0,H
Liverpool,Norwich,0,1,A
Man City,Chelsea,2,2,D
Oldham,Sheffield Weds,0,0,D
QPR,Swindon,1,3,A
Sheffield United,Newcastle,2,0,H
Southampton,Aston Villa,4,1,H
Wimbledon,Tottenham,2,1,H
Ipswich,Man United,1,2,A
Coventry,Blackburn,2,1,H
Leeds,Sheffield Weds,2,2,D
Oldham,Sheffield United,1,1,D
QPR,West Ham,0,0,D
Chelsea,Coventry,1,2,A
Man United,Southampton,2,0,H
Oldham,Tottenham,0,2,A
Aston Villa,Liverpool,2,1,H
Blackburn,Ipswich,0,0,D
Chelsea,Sheffield United,3,2,H
Everton,Wimbledon,3,2,H
Newcastle,Arsenal,2,0,H
Norwich,Oldham,1,1,D
Sheffield Weds,Man City,1,1,D
Swindon,Leeds,0,5,A
Tottenham,QPR,1,2,A
West Ham,Southampton,3,3,D
Man United,Coventry,0,0,D
Arsenal,Man City,3,0,H
Chelsea,Norwich,2,0,H
Coventry,Wimbledon,1,1,D
Crystal Palace,Liverpool,1,6,A
Everton,Aston Villa,2,2,D
Ipswich,Nott'm Forest,0,1,A
Man United,QPR,2,0,H
Sheffield Weds,Tottenham,3,4,A
Southampton,Blackburn,1,1,D
West Ham,Leeds,0,0,D
Leicester,Newcastle,1,3,A
Nott'm Forest,Man United,1,1,D
Blackburn,Leicester,3,0,H
Leeds,Arsenal,1,0,H
Wimbledon,Ipswich,1,1,D
Aston Villa,Southampton,1,1,D
Man City,West Ham,3,0,H
Newcastle,Coventry,4,0,H
Norwich,Crystal Palace,0,0,D
QPR,Sheffield Weds,3,2,H
Tottenham,Everton,2,1,H
Aston Villa,Crystal Palace,1,1,D
Blackburn,Coventry,4,0,H
Leeds,Chelsea,2,3,A
Man City,Everton,4,0,H
Newcastle,Southampton,5,1,H
Norwich,West Ham,1,0,H
Nott'm Forest,Leicester,1,0,H
QPR,Ipswich,1,2,A
Tottenham,Man United,0,1,A
Wimbledon,Sheffield Weds,0,1,A
Liverpool,Arsenal,3,0,H
Coventry,Aston Villa,0,1,A
Crystal Palace,Leeds,1,2,A
Everton,Nott'm Forest,1,2,A
Ipswich,Tottenham,1,3,A
Arsenal,Blackburn,0,0,D
Chelsea,Man City,3,0,H
Leicester,QPR,1,1,D
Man United,Wimbledon,3,0,H
Sheffield Weds,Norwich,0,0,D
Southampton,Liverpool,0,2,A
West Ham,Newcastle,1,3,A
Aston Villa,Ipswich,2,0,H
Blackburn,Everton,3,0,H
Liverpool,West Ham,0,0,D
Man City,Crystal Palace,1,1,D
Newcastle,Chelsea,4,2,H
Norwich,Arsenal,0,0,D
Nott'm Forest,Sheffield Weds,4,1,H
QPR,Coventry,2,2,D
Wimbledon,Leicester,2,1,H
Leeds,Man United,2,1,H
Tottenham,Southampton,1,2,A
Coventry,Leeds,2,1,H
Crystal Palace,Wimbledon,0,0,D
Everton,QPR,2,2,D
Leicester,Tottenham,3,1,H
Man United,Liverpool,2,0,H
Sheffield Weds,Man City,1,1,D
Southampton,Nott'm Forest,1,1,D
West Ham,Aston Villa,1,0,H
Arsenal,Newcastle,2,3,A
Chelsea,Blackburn,1,2,A
Ipswich,Norwich,1,2,A
Blackburn,Aston Villa,3,1,H
Coventry,Southampton,1,3,A
Crystal Palace,Chelsea,0,1,A
Everton,Leicester,1,1,D
Ipswich,Man United,3,2,H
Man City,Norwich,2,0,H
Newcastle,Liverpool,1,1,D
QPR,Wimbledon,0,1,A
Tottenham,Nott'm Forest,1,4,A
West Ham,Arsenal,0,2,A
Sheffield Weds,Leeds,1,1,D
Arsenal,Crystal Palace,1,2,A
Aston Villa,Newcastle,0,2,A
Leeds,Man City,2,0,H
Liverpool,Sheffield Weds,4,1,H
Man United,Everton,2,0,H
Norwich,Blackburn,2,1,H
Southampton,Ipswich,3,1,H
Wimbledon,Tottenham,1,2,A
Chelsea,West Ham,1,2,A
Nott'm Forest,QPR,3,2,H
Leicester,Coventry,2,2,D
Chelsea,Leicester,4,0,H
Liverpool,Aston Villa,3,2,H
Man City,Nott'm Forest,3,3,D
Norwich,Leeds,2,1,H
Sheffield Weds,Man United,1,0,H
Southampton,Everton,2,0,H
Tottenham,QPR,1,1,D
West Ham,Crystal Palace,1,0,H
Wimbledon,Arsenal,1,3,A
Newcastle,Blackburn,1,1,D
Coventry,Ipswich,2,0,H
Arsenal,Chelsea,3,1,H
Aston Villa,Norwich,1,1,D
Blackburn,Liverpool,3,2,H
Crystal Palace,Newcastle,0,1,A
Everton,Coventry,0,2,A
Leeds,Tottenham,1,1,D
Leicester,Southampton,4,3,H
Man United,West Ham,1,0,H
QPR,Man City,1,2,A
Ipswich,Sheffield Weds,1,2,A
Nott'm Forest,Wimbledon,3,1,H
Aston Villa,Nott'm Forest,0,2,A
Crystal Palace,Everton,1,0,H
Liverpool,Wimbledon,3,0,H
Man City,Tottenham,5,2,H
Newcastle,Sheffield Weds,2,1,H
Norwich,QPR,4,2,H
West Ham,Southampton,2,0,H
Arsenal,Coventry,2,1,H
Blackburn,Man United,2,4,A
Chelsea,Ipswich,2,0,H
Leeds,Leicester,2,1,H
Coventry,Man City,1,0,H
Everton,Arsenal,1,1,D
Ipswich,Liverpool,1,3,A
Leicester,Crystal Palace,0,1,A
Man United,Newcastle,2,0,H
Nott'm Forest,Blackburn,0,2,A
QPR,Aston Villa,2,0,H
Sheffield Weds,Chelsea,1,1,D
Southampton,Leeds,1,3,A
Tottenham,West Ham,3,1,H
Wimbledon,Norwich,1,0,H
QPR,Liverpool,2,1,H
Everton,West Ham,1,0,H
Ipswich,Leeds,2,0,H
Coventry,Crystal Palace,1,4,A
Sheffield Weds,Blackburn,0,1,A
Southampton,Norwich,1,1,D
Blackburn,Tottenham,2,0,H
Crystal Palace,Ipswich,3,0,H
Leeds,Wimbledon,3,1,H
Liverpool,Nott'm Forest,1,0,H
Man City,Southampton,3,3,D
Newcastle,QPR,2,1,H
Norwich,Everton,0,0,D
West Ham,Leicester,1,0,H
Arsenal,Sheffield Weds,0,0,D
Aston Villa,Man United,1,2,A
Chelsea,Coventry,2,2,D
Nott'm Forest,Newcastle,0,0,D
Liverpool,Chelsea,3,1,H
Wimbledon,Aston Villa,4,3,H
Man United,Man City,5,0,H
Coventry,Norwich,1,0,H
Ipswich,Blackburn,1,3,A
Man United,Crystal Palace,3,0,H
Nott'm Forest,Chelsea,0,1,A
QPR,Leeds,3,2,H
Sheffield Weds,West Ham,1,0,H
Southampton,Arsenal,1,0,H
Tottenham,Aston Villa,3,4,A
Wimbledon,Newcastle,3,2,H
Leicester,Man City,0,1,A
Everton,Liverpool,2,0,H
Leicester,Arsenal,2,1,H
Tottenham,Chelsea,0,0,D
Arsenal,Man United,0,0,D
Blackburn,QPR,4,0,H
Chelsea,Everton,0,1,A
Crystal Palace,Southampton,0,0,D
Leeds,Nott'm Forest,1,0,H
Liverpool,Tottenham,1,1,D
Man City,Wimbledon,2,0,H
Newcastle,Ipswich,1,1,D
Norwich,Leicester,2,1,H
West Ham,Coventry,0,1,A
Aston Villa,Sheffield Weds,1,1,D
Coventry,Liverpool,1,1,D
Ipswich,Man City,1,2,A
Leicester,Aston Villa,1,1,D
Man United,Norwich,1,0,H
Nott'm Forest,Arsenal,2,2,D
Sheffield Weds,Crystal Palace,1,0,H
Southampton,Chelsea,0,1,A
Tottenham,Newcastle,4,2,H
Wimbledon,Blackburn,0,3,A
Everton,Leeds,3,0,H
QPR,West Ham,2,1,H
Aston Villa,Everton,0,0,D
Blackburn,Southampton,3,2,H
Leeds,West Ham,2,2,D
Newcastle,Leicester,3,1,H
Norwich,Chelsea,3,0,H
Nott'm Forest,Ipswich,4,1,H
QPR,Man United,2,3,A
Tottenham,Sheffield Weds,3,1,H
Wimbledon,Coventry,2,0,H
Liverpool,Crystal Palace,0,0,D
Man City,Arsenal,1,2,A
Ipswich,Wimbledon,2,2,D
Arsenal,Leeds,1,3,A
Coventry,Newcastle,0,0,D
Crystal Palace,Norwich,0,1,A
Everton,Tottenham,0,0,D
Leicester,Blackburn,0,0,D
Man United,Nott'm Forest,1,2,A
Sheffield Weds,QPR,0,2,A
West Ham,Man City,3,0,H
Chelsea,Liverpool,0,0,D
Southampton,Aston Villa,2,1,H
Arsenal,Aston Villa,0,0,D
Chelsea,Man United,2,3,A
Coventry,Nott'm Forest,0,0,D
Crystal Palace,QPR,0,0,D
Everton,Sheffield Weds,1,4,A
Leeds,Newcastle,0,0,D
Leicester,Liverpool,1,2,A
Man City,Blackburn,1,3,A
Norwich,Tottenham,0,2,A
Southampton,Wimbledon,2,3,A
West Ham,Ipswich,1,1,D
Nott'm Forest,Norwich,1,0,H
Tottenham,Crystal Palace,0,0,D
Aston Villa,Chelsea,3,0,H
Ipswich,Arsenal,0,2,A
Liverpool,Man City,2,0,H
Man United,Leicester,1,1,D
QPR,Southampton,2,2,D
Sheffield Weds,Coventry,5,1,H
Wimbledon,West Ham,1,0,H
Arsenal,QPR,1,3,A
Chelsea,Wimbledon,1,1,D
Coventry,Tottenham,0,4,A
Crystal Palace,Blackburn,0,1,A
Everton,Ipswich,4,1,H
Leeds,Liverpool,0,2,A
Leicester,Sheffield Weds,0,1,A
Man City,Aston Villa,2,2,D
Norwich,Newcastle,2,1,H
Southampton,Man United,2,2,D
West Ham,Nott'm Forest,3,1,H
Aston Villa,Leeds,0,0,D
Blackburn,West Ham,4,2,H
Ipswich,Leicester,4,1,H
Liverpool,Norwich,4,0,H
Newcastle,Man City,0,0,D
Nott'm Forest,Crystal Palace,1,0,H
Sheffield Weds,Southampton,1,1,D
Tottenham,Arsenal,1,0,H
Wimbledon,Everton,2,1,H
Man United,Coventry,2,0,H
Arsenal,Everton,1,1,D
Aston Villa,QPR,2,1,H
Blackburn,Nott'm Forest,3,0,H
Chelsea,Sheffield Weds,1,1,D
