Date,HomeTeam,AwayTeam,HomeTeamId,AwayTeamId,EventId
2026-12-13,Juventus,Monza,111,4007,401874783
2026-12-13,Lazio,AS Roma,112,104,401875007
2026-12-13,Lecce,Sassuolo,113,3997,401874982
2026-12-13,Napoli,AC Milan,114,103,401875028
2026-12-13,Parma,Fiorentina,115,109,401874761
2026-12-13,Udinese,Frosinone,118,4057,401874775
2026-12-20,AC Milan,Como,103,2572,401875044
2026-12-20,AS Roma,Juventus,104,111,401874813
2026-12-20,Atalanta,Napoli,105,114,401874777
2026-12-20,Fiorentina,Bologna,109,107,401874836
2026-12-20,Frosinone,Lazio,4057,112,401875016
2026-12-20,Genoa,Udinese,3263,118,401875045
2026-12-20,Lecce,Internazionale,113,110,401874996
2026-12-20,Sassuolo,Parma,3997,115,401874973
2026-12-20,Torino,Cagliari,239,2925,401874785
2026-12-20,Venezia,Monza,17530,4007,401875118
2027-01-03,AS Roma,Frosinone,104,4057,401875076
2027-01-03,Bologna,Juventus,107,111,401875000
2027-01-03,Cagliari,Genoa,2925,3263,401875057
2027-01-03,Como,Lecce,2572,113,401874830
2027-01-03,Fiorentina,Lazio,109,112,401875014
2027-01-03,Internazionale,Sassuolo,110,3997,401874793
2027-01-03,Monza,AC Milan,4007,103,401874986
2027-01-03,Parma,Napoli,115,114,401875020
2027-01-03,Torino,Venezia,239,17530,401875042
2027-01-03,Udinese,Atalanta,118,105,401874770
2027-01-06,AC Milan,Fiorentina,103,109,401875034
2027-01-06,Atalanta,Como,105,2572,401874843
2027-01-06,Frosinone,Bologna,4057,107,401875087
2027-01-06,Genoa,Monza,3263,4007,401875126
2027-01-06,Juventus,Torino,111,239,401875070
2027-01-06,Lazio,Internazionale,112,110,401874778
2027-01-06,Lecce,Parma,113,115,401875033
2027-01-06,Napoli,Cagliari,114,2925,401874787
2027-01-06,Sassuolo,Udinese,3997,118,401874999
2027-01-06,Venezia,AS Roma,17530,104,401875099
2027-01-10,AS Roma,AC Milan,104,103,401875089
2027-01-10,Bologna,Genoa,107,3263,401874997
2027-01-10,Cagliari,Sassuolo,2925,3997,401874854
2027-01-10,Como,Lazio,2572,112,401874805
2027-01-10,Fiorentina,Lecce,109,113,401875046
2027-01-10,Internazionale,Juventus,110,111,401875035
2027-01-10,Monza,Frosinone,4007,4057,401874794
2027-01-10,Parma,Venezia,115,17530,401875079
2027-01-10,Torino,Atalanta,239,105,401875015
2027-01-10,Udinese,Napoli,118,114,401874835
2027-01-17,AC Milan,Torino,103,239,401875010
2027-01-17,Atalanta,AS Roma,105,104,401875030
2027-01-17,Cagliari,Como,2925,2572,401874846
2027-01-17,Juventus,Genoa,111,3263,401875059
2027-01-17,Lazio,Bologna,112,107,401874796
2027-01-17,Lecce,Udinese,113,118,401875048
2027-01-17,Napoli,Fiorentina,114,109,401875092
2027-01-17,Parma,Internazionale,115,110,401875129
2027-01-17,Sassuolo,Monza,3997,4007,401874818
2027-01-17,Venezia,Frosinone,17530,4057,401875132
2027-01-24,AS Roma,Udinese,104,118,401874824
2027-01-24,Bologna,Atalanta,107,105,401875024
2027-01-24,Como,Napoli,2572,114,401874804
2027-01-24,Fiorentina,Sassuolo,109,3997,401875022
2027-01-24,Frosinone,AC Milan,4057,103,401875061
2027-01-24,Genoa,Parma,3263,115,401875135
2027-01-24,Internazionale,Venezia,110,17530,401874856
2027-01-24,Juventus,Cagliari,111,2925,401875012
2027-01-24,Lecce,Torino,113,239,401874790
2027-01-24,Monza,Lazio,4007,112,401874863
2027-01-31,AC Milan,Juventus,103,111,401875078
2027-01-31,Atalanta,Fiorentina,105,109,401875109
2027-01-31,Cagliari,Parma,2925,115,401875121
2027-01-31,Genoa,Lecce,3263,113,401875058
2027-01-31,Lazio,Venezia,112,17530,401874809
2027-01-31,Monza,AS Roma,4007,104,401875043
2027-01-31,Napoli,Internazionale,114,110,401875074
2027-01-31,Sassuolo,Como,3997,2572,401874806
2027-01-31,Torino,Frosinone,239,4057,401874867
2027-01-31,Udinese,Bologna,118,107,401875102
2027-02-07,AS Roma,Torino,104,239,401875025
2027-02-07,Atalanta,Lazio,105,112,401875054
2027-02-07,Bologna,AC Milan,107,103,401874871
2027-02-07,Como,Monza,2572,4007,401875037
2027-02-07,Fiorentina,Udinese,109,118,401875136
2027-02-07,Internazionale,Cagliari,110,2925,401874812
2027-02-07,Juventus,Sassuolo,111,3997,401875069
2027-02-07,Lecce,Napoli,113,114,401875140
2027-02-07,Parma,Frosinone,115,4057,401875091
2027-02-07,Venezia,Genoa,17530,3263,401874876
2027-02-14,AS Roma,Parma,104,115,401874998
2027-02-14,Bologna,Como,107,2572,401875116
2027-02-14,Cagliari,Lazio,2925,112,401875073
2027-02-14,Frosinone,Fiorentina,4057,109,401874985
2027-02-14,Genoa,Atalanta,3263,105,401875125
2027-02-14,Internazionale,AC Milan,110,103,401875105
2027-02-14,Monza,Lecce,4007,113,401875041
2027-02-14,Napoli,Juventus,114,111,401874829
2027-02-14,Torino,Sassuolo,239,3997,401875027
2027-02-14,Udinese,Venezia,118,17530,401874833
2027-02-21,AC Milan,Genoa,103,3263,401875066
2027-02-21,Atalanta,Monza,105,4007,401874819
2027-02-21,Como,Torino,2572,239,401875143
