team,player_code,player_name,position,photo_url,roster_source,portrait_source
Borussia Dortmund,399455,Kauã Prates,Defender,,2026/27 roster feed,Unavailable
Borussia Dortmund,371500,Kouakou Gadou,Defender,,2026/27 roster feed,Unavailable
Borussia Dortmund,413817,Luca Reggiani,Defender,,2026/27 roster feed,Unavailable
Borussia Dortmund,414315,Miguel Adje,Defender,,2026/27 roster feed,Unavailable
Borussia Dortmund,286828,Nico Schlotterbeck,Defender,,2026/27 roster feed,Unavailable
Borussia Dortmund,186263,Niklas Süle,Defender,,2025/26 squad carryover,Unavailable
Borussia Dortmund,220703,Ramy Bensebaini,Defender,,2026/27 roster feed,Unavailable
Borussia Dortmund,3102553,Roméo Ritter,Defender,,2026/27 roster feed,Unavailable
Borussia Dortmund,220714,Waldemar Anton,Defender,,2026/27 roster feed,Unavailable
Borussia Dortmund,297084,Yan Couto,Defender,,2026/27 roster feed,Unavailable
Borussia Dortmund,3102555,Arne Wessels,Forward,,2026/27 roster feed,Unavailable
Borussia Dortmund,291629,Fábio Silva,Forward,https://r2.thesportsdb.com/images/media/player/thumb/6gnom11604139473.jpg,2026/27 roster feed,TheSportsDB
Borussia Dortmund,274913,Karim Adeyemi,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/FC_Salzburg_gegen_FC_Bayern_M%C3%BCnchen_%28Championsleague_Achtelfinale_Hinspiel_16._Februar_2022%29_63.jpg/250px-FC_Salzburg_gegen_FC_Bayern_M%C3%BCnchen_%28Championsleague_Achtelfinale_Hinspiel_16._Februar_2022%29_63.jpg,2025/26 squad carryover,Wikimedia Commons
Borussia Dortmund,410643,Marwan Mirza,Forward,,2026/27 roster feed,Unavailable
Borussia Dortmund,403781,Mathis Albert,Forward,,2026/27 roster feed,Unavailable
Borussia Dortmund,290639,Maximilian Beier,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Maximilian_Beier_Ecuador_v_Germany_25_June_2026-152.jpg/250px-Maximilian_Beier_Ecuador_v_Germany_25_June_2026-152.jpg,2026/27 roster feed,Wikimedia Commons
Borussia Dortmund,403833,Samuele Inácio,Forward,,2026/27 roster feed,Unavailable
