season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,154456,Cristiano Piccini,0,2.0,3.0,23.0,21.0,0.0,0.0
2016-17,22774,Cristiano Ronaldo,0,25.0,6.0,29.0,29.0,0.0,0.0
2016-17,147193,Cédric Bakambu,0,11.0,1.0,26.0,17.0,0.0,0.0
2016-17,168531,Dani Carvajal,0,0.0,4.0,23.0,21.0,0.0,0.0
2016-17,130426,Dani Castellano,0,0.0,1.0,27.0,25.0,0.0,0.0
2016-17,202717,Dani Ceballos,0,2.0,2.0,30.0,24.0,0.0,0.0
2016-17,192734,Dani García,0,1.0,1.0,36.0,36.0,0.0,0.0
2016-17,140313,Dani Giménez,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,193063,Dani Iglesias,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,211913,Dani Ndi,0,0.0,0.0,6.0,1.0,0.0,0.0
2016-17,121020,Dani Parejo,0,5.0,7.0,36.0,36.0,0.0,0.0
2016-17,253763,Dani Raba,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,124198,Daniel Carriço,0,0.0,0.0,6.0,6.0,0.0,0.0
2016-17,188170,Daniel Torres,0,0.0,0.0,21.0,17.0,0.0,0.0
2016-17,153822,Daniel Wass,0,3.0,4.0,32.0,29.0,0.0,0.0
2016-17,10983,Daniele Bonera,0,0.0,0.0,6.0,6.0,0.0,0.0
2016-17,170369,Danilo,0,1.0,2.0,17.0,17.0,0.0,0.0
2016-17,151695,Darko Brasanac,0,1.0,1.0,25.0,19.0,0.0,0.0
2016-17,165517,Darwin Machis,0,1.0,3.0,27.0,10.0,0.0,0.0
2016-17,250929,Darío Poveda,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,176189,David Carmona,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,196956,David Concha,0,0.0,0.0,8.0,1.0,0.0,0.0
2016-17,125104,David García,0,1.0,1.0,22.0,17.0,0.0,0.0
2016-17,209582,David García,0,1.0,0.0,25.0,23.0,0.0,0.0
